Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Connector Type","Number of Contacts","Gender","Specifications","Mounting Type","Mounting Feature","Termination","Features","Ingress Protection","Operating Temperature","Number of Ports","Current Rating (Amps)","Voltage - Rated","Shielding","Mating Cycles","URL"
"https://www.jae.com/direct/topics/topics_file_download/topics_id=64360&ext_no=08&_lang=en","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/527/DX4R005JJ2R1800.JPG","670-2675-2-ND,670-2675-1-ND,670-2675-6-ND","DX4R005JJ2R1800","JAE Electronics","JAE Electronics","CONN RCPT USB2.0 MICRO B SMD R/A","17.372","0.68","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","DX4","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","Unshielded","10000","https://www.digikey.be/en/products/detail/jae-electronics/DX4R005JJ2R1800/3903229"
"https://www.hirose.com/zh/product/document?clcode=CL0242-0514-6-30&productname=ZX360D1-B-CN-10P(30)&series=ZX360&documenttype=SpecSheet&lang=zh&documentid=0001148416","-","26-ZX360D1-B-CN-10P(30)TR-ND","ZX360D1-B-CN-10P(30)","Hirose Electric Co Ltd","Hirose Electric Co Ltd","CONN RCPT USB3.0 MICRO B SMD R/A","0","0.6806","0","2000","Tape & Reel (TR)","ZX","Active","USB - micro B","10","Receptacle","USB 3.0","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","-","-","-30°C ~ 85°C","1","1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/hirose-electric-co-ltd/ZX360D1-B-CN-10P-30/11204760"
"https://www.hirose.com/zh/product/document?clcode=CL0242-0513-3-30&productname=ZX360D1-B-10P(30)&series=ZX360&documenttype=SpecSheet&lang=zh&documentid=0001148404","-","26-ZX360D1-B-10P(30)TR-ND","ZX360D1-B-10P(30)","Hirose Electric Co Ltd","Hirose Electric Co Ltd","CONN RCPT USB3.0 MICRO B SMD R/A","0","0.68835","0","2000","Tape & Reel (TR)","ZX","Active","USB - micro B","10","Receptacle","USB 3.0","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","-","-","-30°C ~ 85°C","1","1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/hirose-electric-co-ltd/ZX360D1-B-10P-30/11204946"
"https://www.hirose.com/product/document?clcode=&productname=&series=ZX360&documenttype=Catalog&lang=en&documentid=D31616_en","-","ZX360D-B-WD-10P(01)-ND","ZX360D-B-WD-10P(01)","Hirose Electric Co Ltd","Hirose Electric Co Ltd","CONN RCPT USB3.0 MICRO B SMD R/A","0","0.68842","0","1000","Tape & Reel (TR)","ZX360","Obsolete","USB - micro B","10","Receptacle","USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0))","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","Board Guide, Pick and Place","-","-30°C ~ 85°C","1","1.8A","30VAC","-","10000","https://www.digikey.be/en/products/detail/hirose-electric-co-ltd/ZX360D-B-WD-10P-01/5134929"
"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/640/10103594-0001LF.jpg","609-4050-2-ND,609-4050-1-ND,609-4050-6-ND","10103594-0001LF","Amphenol ICC (FCI)","Amphenol CS (FCI)","CONN RCPT USB2.0 MICRO B SMD R/A","25.857","0.69","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","Solder Retention","-","-30°C ~ 80°C","1","1.8A per Contact","100VAC","Shielded","10000","https://www.digikey.be/en/products/detail/amphenol-cs-fci/10103594-0001LF/2350351"
"https://www.hirose.com/product/download/?distributor=digikey&type=specSheet&lang=en&num=ZX62M-B-5P(30)","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/934/ZX62M-B-5P%2801%29.jpg","H125273TR-ND,H125273CT-ND,H125273DKR-ND","ZX62M-B-5P(30)","Hirose Electric Co Ltd","Hirose Electric Co Ltd","CONN RCPT USB2.0 MICRO B SMD","5.687","0.69","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ZX","Active","USB - micro B","5","Receptacle","USB 2.0","Board Edge, Cutout; Surface Mount, Right Angle","Horizontal, Mid Mount","Solder","Pick and Place, Solder Retention","-","-30°C ~ 85°C","1","1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/hirose-electric-co-ltd/ZX62M-B-5P-30/5994739"
"https://gct.co/files/specs/usb3190-spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3518/MFG_usb3190-gf-c.jpg","2073-USB3190-GF-CTR-ND,2073-USB3190-GF-CCT-ND,2073-USB3190-GF-CDKR-ND","USB3190-GF-C","GCT","GCT","MICRO B SKT VERT MID MOUNT H=3.9","993","0.69","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","USB3190","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Through Hole","Vertical","Solder","Board Guide, Pick and Place Cap","-","-30°C ~ 85°C","1","1A, 1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/gct/USB3190-GF-C/13547385"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/695/DX4_Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/525/DX4R005H91R1500.jpg","670-2595-2-ND","DX4R005H91R1500","JAE Electronics","JAE Electronics","CONN RCPT USB2.0 MICRO B SMD R/A","0","0.69194","0","1500","Tape & Reel (TR)","DX4","Obsolete","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","Unshielded","10000","https://www.digikey.be/en/products/detail/jae-electronics/DX4R005H91R1500/2744645"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1846/2069746-1.jpg","A117936TR-ND","2069746-1","TE Connectivity AMP Connectors","TE Connectivity AMP Connectors","CONN RCPT USB2.0 MICRO B SMD R/A","0","0.69747","0","6000","Tape & Reel (TR)","-","Obsolete","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","Board Guide","-","-","1","-","-","-","-","https://www.digikey.be/en/products/detail/te-connectivity-amp-connectors/2069746-1/4731609"
"https://gct.co/files/specs/usb3130-spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/MFG_USB3130-30-A.jpg","2073-USB3130-30-ATR-ND,2073-USB3130-30-ACT-ND,2073-USB3130-30-ADKR-ND","USB3130-30-A","GCT","GCT","MICRO B SKT, VERTICAL, TH, 30"",","11.304","0.71","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","USB3130","Active","USB - micro B","5","Receptacle","USB 2.0","Through Hole","Vertical","Solder","-","-","-55°C ~ 85°C","1","1A, 1.8A","30V","Shielded","10000","https://www.digikey.be/en/products/detail/gct/USB3130-30-A/9859641"
