Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate","Ratings","URL"
"https://www.te.com/usa-en/product-7-1879377-4.datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/846/0805-Case-Chip-Resistor.jpg","A126435TR-ND,A126435CT-ND,A126435DKR-ND","CRGH0805J1K0","TE Connectivity Passive Product","TE Connectivity Passive Product","RES 1K OHM 5% 1/3W 0805","68.036","0.09","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CRGH, Neohm","Active","1 kOhms","±5%","0.333W, 1/3W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","2","-","-","https://www.digikey.be/en/products/detail/te-connectivity-passive-product/CRGH0805J1K0/2385524"
"https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C334.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2494/ERAW%20Series%200402%20Pkg.jpg","10-ERJ-U02J102XTR-ND,10-ERJ-U02J102XCT-ND,10-ERJ-U02J102XDKR-ND","ERJ-U02J102X","Panasonic Industry","Panasonic Industry","RES 1K OHM 5% 1/10W 0402","41.304","0.09","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-U02","Active","1 kOhms","±5%","0.1W, 1/10W","Thick Film","Anti-Sulfur, Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-","-","https://www.digikey.be/en/products/detail/panasonic-industry/ERJ-U02J102X/11631896"
"https://www.koaspeer.com/pdfs/SG73P.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/KOA-Speer-0402-%281005-Metric%29.jpg","2019-SG73P1ETTP102JTR-ND,2019-SG73P1ETTP102JCT-ND,2019-SG73P1ETTP102JDKR-ND","SG73P1ETTP102J","KOA Speer Electronics, Inc.","KOA Speer Electronics, Inc.","RES 1K OHM 5% 1/5W 0402","0","0.09","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SG73P","Active","1 kOhms","±5%","0.2W, 1/5W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±200ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-","-","https://www.digikey.be/en/products/detail/koa-speer-electronics-inc/SG73P1ETTP102J/10188205"
"https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4850/13_2010-%285025-Metric%29.jpg","SR2010JK-071KL-ND","SR2010JK-071KL","YAGEO","YAGEO","RES 1K OHM 5% 3/4W 2010","0","0.08978","0","4000","Tape & Reel (TR)","SR","Active","1 kOhms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.026"" (0.65mm)","2","-","-","https://www.digikey.be/en/products/detail/yageo/SR2010JK-071KL/5949801"
"https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-8&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=2176244-1","-","1111-CRGS1206J1K0TR-ND","CRGS1206J1K0","TE Connectivity AMP Connectors","TE Connectivity","CRGS1206 5% 1K0","0","0.08769","0","10000","Tape & Reel (TR)","CRGS, Neohm","Active","1 kOhms","±5%","0.6W","Thick Film","Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.061"" W (3.10mm x 1.55mm)","0.026"" (0.65mm)","2","-","-","https://www.digikey.be/en/products/detail/te-connectivity/CRGS1206J1K0/29228850"
"https://www.kamaya.co.jp/upload/products_pdf/kamaya_products(RPC)_english_20170424_105407.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4838/RPC-2512.jpg","2315-RPC63102JTETR-ND","RPC63102JTE","Kamaya Inc.","Kamaya Inc.","RES 1K OHM 1W 5% 2512","0","0.08039","0","4000","Tape & Reel (TR)","RPC","Active","1 kOhms","±5%","1W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","2512 (6332 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2","-","-","https://www.digikey.be/en/products/detail/kamaya-inc/RPC63102JTE/12156769"
"https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/13_0402-%281005-metric%29.jpg","311-1.0KJRTR-ND,311-1.0KJRCT-ND,311-1.0KJRDKR-ND","RC0402JR-071KL","YAGEO","YAGEO","RES 1K OHM 5% 1/16W 0402","3.844.848","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","1 kOhms","±5%","0.063W, 1/16W","Thick Film","Moisture Resistant","±100ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-","-","https://www.digikey.be/en/products/detail/yageo/RC0402JR-071KL/726408"
"https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/957/ERJ-PA2-Series.jpg","P1.0KJTR-ND,P1.0KJCT-ND,P1.0KJDKR-ND","ERJ-2GEJ102X","Panasonic Industry","Panasonic Industry","RES SMD 1K OHM 5% 1/10W 0402","661.820","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","1 kOhms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-","-","https://www.digikey.be/en/products/detail/panasonic-industry/ERJ-2GEJ102X/146898"
"https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2606/MFG_ERJ-P6W%20Series.jpg","P1.0KGTR-ND,P1.0KGCT-ND,P1.0KGDKR-ND","ERJ-3GEYJ102V","Panasonic Industry","Panasonic Industry","RES SMD 1K OHM 5% 1/10W 0603","159.174","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-3G","Active","1 kOhms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-","https://www.digikey.be/en/products/detail/panasonic-industry/ERJ-3GEYJ102V/68472"
"https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0603-%281608-Metric%29.jpg","CR0603-JW-102ELFTR-ND,CR0603-JW-102ELFCT-ND,CR0603-JW-102ELFDKR-ND","CR0603-JW-102ELF","Bourns Inc.","Bourns Inc.","RES SMD 1K OHM 5% 1/10W 0603","1.083.665","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CR0603","Active","1 kOhms","±5%","0.1W, 1/10W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-","https://www.digikey.be/en/products/detail/bourns-inc/CR0603-JW-102ELF/3741004"
